example_id                                                                | status | run_time        |
./spec/features/users/profile_spec.rb[1:1:2:1]                            | passed | 0.09302 seconds |
./spec/features/users/profile_spec.rb[1:1:2:2]                            | passed | 0.13474 seconds |
./spec/features/users/profile_spec.rb[1:1:3:1]                            | passed | 0.19467 seconds |
./spec/features/users/profile_spec.rb[1:1:3:2]                            | passed | 0.3313 seconds  |
./spec/features/users/profile_spec.rb[1:2:1]                              | passed | 0.70071 seconds |
./spec/features/users/profile_spec.rb[1:2:2]                              | passed | 1.18 seconds    |
./spec/features/users/profile_spec.rb[1:2:3]                              | passed | 0.09293 seconds |
./spec/models/activity_spec.rb[1:1]                                       | passed | 0.00281 seconds |
./spec/models/activity_spec.rb[1:2]                                       | passed | 0.01981 seconds |
./spec/models/activity_spec.rb[1:3]                                       | passed | 0.00268 seconds |
./spec/models/activity_spec.rb[1:4:1]                                     | passed | 0.16105 seconds |
./spec/models/comment_spec.rb[1:1]                                        | passed | 0.00299 seconds |
./spec/models/comment_spec.rb[1:2]                                        | passed | 0.00219 seconds |
./spec/models/comment_spec.rb[1:3]                                        | passed | 0.00634 seconds |
./spec/models/course_spec.rb[1:1]                                         | passed | 0.00858 seconds |
./spec/models/course_spec.rb[1:2]                                         | passed | 0.0038 seconds  |
./spec/models/course_spec.rb[1:3]                                         | passed | 0.00513 seconds |
./spec/models/course_spec.rb[1:4]                                         | passed | 0.00648 seconds |
./spec/models/course_spec.rb[1:5]                                         | passed | 0.00899 seconds |
./spec/models/course_spec.rb[1:6]                                         | passed | 0.00783 seconds |
./spec/models/course_spec.rb[1:7:1]                                       | passed | 0.03042 seconds |
./spec/models/course_spec.rb[1:8:1]                                       | passed | 0.03141 seconds |
./spec/models/course_spec.rb[1:9:1]                                       | passed | 0.03666 seconds |
./spec/models/course_spec.rb[1:10:1]                                      | passed | 0.05429 seconds |
./spec/models/course_spec.rb[1:11:1]                                      | passed | 0.05009 seconds |
./spec/models/course_user_spec.rb[1:1]                                    | passed | 0.00288 seconds |
./spec/models/course_user_spec.rb[1:2]                                    | passed | 0.00297 seconds |
./spec/models/course_user_spec.rb[1:3]                                    | passed | 0.02782 seconds |
./spec/models/course_user_spec.rb[1:4:1]                                  | passed | 0.0519 seconds  |
./spec/models/course_user_spec.rb[1:5:1]                                  | passed | 0.04506 seconds |
./spec/models/homework_spec.rb[1:1]                                       | passed | 0.00267 seconds |
./spec/models/homework_spec.rb[1:2]                                       | passed | 0.00306 seconds |
./spec/models/homework_spec.rb[1:3]                                       | passed | 0.00567 seconds |
./spec/models/homework_spec.rb[1:4]                                       | passed | 0.00549 seconds |
./spec/models/homework_spec.rb[1:5:1]                                     | passed | 0.05472 seconds |
./spec/models/lesson_spec.rb[1:1]                                         | passed | 0.00315 seconds |
./spec/models/lesson_spec.rb[1:2]                                         | passed | 0.0033 seconds  |
./spec/models/lesson_spec.rb[1:3]                                         | passed | 0.00404 seconds |
./spec/models/lesson_spec.rb[1:4]                                         | passed | 0.00368 seconds |
./spec/models/lesson_spec.rb[1:5]                                         | passed | 0.00628 seconds |
./spec/models/lesson_spec.rb[1:6]                                         | passed | 0.0063 seconds  |
./spec/models/lesson_spec.rb[1:7]                                         | passed | 0.00621 seconds |
./spec/models/lesson_spec.rb[1:8:1]                                       | passed | 0.04261 seconds |
./spec/models/profile_spec.rb[1:1]                                        | passed | 0.00334 seconds |
./spec/models/profile_spec.rb[1:2]                                        | passed | 0.01467 seconds |
./spec/models/social_profile_spec.rb[1:1]                                 | passed | 0.00376 seconds |
./spec/models/social_profile_spec.rb[1:2]                                 | passed | 0.00747 seconds |
./spec/models/social_profile_spec.rb[1:3]                                 | passed | 0.0222 seconds  |
./spec/models/social_profile_spec.rb[1:4]                                 | passed | 0.04533 seconds |
./spec/models/user_spec.rb[1:1]                                           | passed | 0.00447 seconds |
./spec/models/user_spec.rb[1:2]                                           | passed | 0.0076 seconds  |
./spec/models/user_spec.rb[1:3]                                           | passed | 0.00874 seconds |
./spec/models/user_spec.rb[1:4]                                           | passed | 0.01045 seconds |
./spec/models/user_spec.rb[1:5]                                           | passed | 0.00734 seconds |
./spec/models/user_spec.rb[1:6]                                           | passed | 0.0042 seconds  |
./spec/models/user_spec.rb[1:7]                                           | passed | 0.0042 seconds  |
./spec/models/user_spec.rb[1:8]                                           | passed | 0.00442 seconds |
./spec/models/user_spec.rb[1:9]                                           | passed | 0.00385 seconds |
./spec/models/user_spec.rb[1:10:1]                                        | passed | 0.08385 seconds |
./spec/models/user_spec.rb[1:11:1]                                        | passed | 0.03339 seconds |
./spec/models/user_spec.rb[1:12:1:1]                                      | passed | 0.03303 seconds |
./spec/models/user_spec.rb[1:12:1:2]                                      | passed | 0.03431 seconds |
./spec/models/user_spec.rb[1:13:1]                                        | passed | 0.03472 seconds |
